Volume	HaloGRP@z0	HaloGRP@Mpeak	Snapshot@Mpeak	Mpeak	Mhalo@z0	Mstar@z0	Mstar,photometric@z0	Mstar@Mpeak	Mstar,photometric@Mpeak	VbandMag	HaloType	Vmax@Mpeak
h148	262	137	1536	565666240.0	143019630.0	45477.182	18190.8728	45845.815	18338.326	-5.562997485480274	Satellite	17.76000
h148	289	50	2496	1696930800.0	123247600.0	138921.22	55568.488000000005	142016.58	56806.632	-6.778255345440397	Backsplash	23.72000
h148	319	95	1664	953209410.0	113744430.0	94633.353	37853.3412	96945.724	38778.289600000004	-6.362373738008742	Backsplash	20.73000
h148	348	227	1408	327062140.0	106951300.0	6758.6724	2703.46896	6821.645100000001	2728.6580400000003	-3.4995695257998083	Satellite	16.83000
h148	392	139	2304	447422140.0	93651024.0	27646.092	11058.436800000001	28879.756	11551.9024	-5.026426394976779	Satellite	16.65000
h148	426	53	1270	1939280000.0	77013576.0	359043.08999999997	143617.236	399429.14	159771.65600000002	-7.830890380310725	Satellite	24.80000
h148	454	101	1408	880172670.0	55534160.0	926532.2	370612.88	1211719.2	484687.68	-8.839116906110057	Satellite	22.43000
h148	532	100	2048	741807620.0	68597168.0	6758.966500000001	2703.5866000000005	7988.8285	3195.5314	-3.4955525262542206	Backsplash	19.31000
h148	644	102	1476	919827330.0	50029512.0	231770.53	92708.212	240565.15	96226.06	-7.337379756185421	Backsplash	20.61000
h148	741	108	1408	856635710.0	46586988.0	97087.671	38835.068400000004	102133.26000000001	40853.304000000004	-6.418632383705576	Backsplash	20.70000
h148	1007	323	0640	249036450.0	34933896.0	12895.251	5158.1004	13604.575	5441.830000000001	-4.201381385511331	Satellite	16.13000
h148	1109	25	1024	5598244400.0	1100146.1	1064394.3	425757.72000000003	5276371.3	2110548.52	-9.127898065632994	Satellite	37.24000
h148	1367	500	0777	156076430.0	24651912.0	12286.932	4914.772800000001	13555.414	5422.1656	-4.141985093359345	Central	13.81000
h148	1394	44	1536	2083296500.0	9355010.0	539827.35	215930.94	1954455.5	781782.2000000001	-8.278389649317797	Satellite	27.00000
h148	1918	63	1024	1528759000.0	7751203.0	348597.99	139439.196	921866.58	368746.632	-7.847185750942889	Satellite	26.83000
h148	3252	190	0512	416083810.0	8076317.0	65765.475	26306.190000000002	91991.216	36796.4864	-5.992280739701159	Backsplash	21.58000
h148	5768	164	0637	525912670.0	5101534.5	5529.9973	2211.99892	35921.328	14368.531200000001	-3.3025172532144706	Satellite	20.89000
h229	2	2	4096	51106832000.0	51106832000.0	826925270.0	330770108.0	826925270.0	330770108.0	-17.098608802264316	Satellite	76.03000
h229	3	4	4032	10970135000.0	10970105000.0	34897469.0	13958987.600000001	34824897.0	13929958.8	-12.981934518454638	Satellite	39.88000
h229	6	6	3744	8575859700.0	8285834200.0	24763460.0	9905384.0	23967530.0	9587012.0	-13.070767134590856	Satellite	35.21000
h229	14	12	2304	4175933400.0	2403512100.0	3338274.8	1335309.92	2340200.0	936080.0	-10.738085606235304	Satellite	33.33000
h229	15	15	4096	2334189300.0	2334189300.0	172052.36	68820.944	172052.36	68820.944	-7.050960773325206	Satellite	23.64000
h229	18	9	0864	8436255200.0	1509989800.0	77148779.0	30859511.6	58698143.00000001	23479257.200000003	-13.648552332939285	Satellite	50.35000
h229	20	15	2112	3754921000.0	2025911200.0	861068.16	344427.264	774813.06	309925.22400000005	-8.927311839904956	Satellite	29.93000
h229	22	20	1344	2778338600.0	1551645300.0	4786507.5	1914603.0	4832424.5	1932969.8	-10.647196126001546	Satellite	30.55000
h229	33	15	1269	3500708600.0	1147211300.0	63875.33800000001	25550.135200000004	65169.603	26067.841200000003	-6.186784384343218	Satellite	35.65000
h229	47	38	1920	1371044700.0	838226370.0	457290.08	182916.032	458271.56	183308.624	-8.066906024799868	Satellite	25.52000
h229	48	24	0960	2197211100.0	813470590.0	624603.98	249841.592	673955.03	269582.01200000005	-8.419948906712692	Satellite	29.62000
h229	49	14	1269	3551306000.0	764198020.0	6790766.400000001	2716306.5600000005	5590680.0	2236272.0	-11.09982519619237	Satellite	34.09000
h229	52	43	1269	980730500.0	731750080.0	68826.656	27530.6624	71268.94	28507.576	-6.031240579885767	Satellite	20.88000
h229	57	58	3744	694538880.0	689961660.0	29496.170000000002	11798.468	29496.604	11798.6416	-5.099102731538233	Satellite	18.32000
h229	62	38	2880	1123114900.0	585427200.0	14738.422	5895.3688	14739.379	5895.7516000000005	-4.348859384960977	Satellite	19.11000
h229	64	25	2688	2123461600.0	556381890.0	2715946.0	1086378.4000000001	2712378.1999999997	1084951.28	-10.035272351997513	Satellite	28.91000
h229	89	45	0864	928435970.0	377193470.0	14736.229	5894.4916	15378.698	6151.479200000001	-4.3511530911683565	Satellite	23.56000
h229	92	24	1152	2069662200.0	349631100.0	2292203.3	916881.32	0.0	0.0	-9.824109496864669	Satellite	29.94000
